3m,1m,otherNonCurrrentAssets,otherCurrentLiabilities,cashflowFromInvestment,cashflowFromFinancing,retainedEarnings,shortTermDebt,netIncomeFromContinuingOperations,operatingCashflow,totalCurrentLiabilities,totalShareholderEquity
0.03784711854284861,0.017243953418931035,14723000000.0,9351000000.0,-7257000000.0,-8686000000.0,24150000000.0,0.0,12405000000.0,16108000000.0,69420000000.0,102330000000.0
0.13583177887061226,0.10734271663557737,10258000000.0,7837000000.0,-1363000000.0,-7601000000.0,18338000000.0,0.0,8809000000.0,13520000000.0,53861000000.0,94864000000.0
0.16116963670375117,0.0281579206458602,10129000000.0,8297000000.0,-4200000000.0,-13216000000.0,16585000000.0,0.0,8420000000.0,8900000000.0,50318000000.0,92128000000.0
-0.11191746087260657,-0.06610125032788317,9792000000.0,7953000000.0,-2953000000.0,-7384000000.0,17279000000.0,0.0,8824000000.0,13657000000.0,56277000000.0,85967000000.0
0.1598215191157084,0.07575296623060535,7442000000.0,8744000000.0,-2670000000.0,-6039000000.0,13682000000.0,0.0,10379000000.0,11418000000.0,58488000000.0,82718000000.0
0.08042072970307879,0.02465213103977204,7106000000.0,7500000000.0,3844000000.0,-19658000000.0,9974000000.0,230000000.0,7424000000.0,12151000000.0,46133000000.0,79239000000.0
0.0669862052840775,0.11070844049567441,6967000000.0,7787000000.0,-331000000.0,-1552000000.0,8567000000.0,12466000000.0,-6302000000.0,7875000000.0,58099000000.0,78360000000.0
0.14834205933682387,0.11665995435628962,6083000000.0,7520000000.0,-6904000000.0,-6341000000.0,19702000000.0,8170000000.0,6576000000.0,12440000000.0,51615000000.0,89647000000.0
0.08066154069345699,0.054693166980995134,6076000000.0,7684000000.0,-7369000000.0,-2701000000.0,17769000000.0,9072000000.0,5330000000.0,11005000000.0,55745000000.0,87711000000.0
0.04661402976009721,0.03947767992711815,4146000000.0,6025000000.0,-6191000000.0,-6236000000.0,531000000.0,7187000000.0,4801000000.0,10660000000.0,52005000000.0,83491000000.0
0.0598648213710975,0.040392661731573964,3845000000.0,6688000000.0,-14751000000.0,3016000000.0,120000000000.0,25065000000.0,5200000000.0,6293000000.0,70787000000.0,81829000000.0
0.07227260998149376,0.11259478259564548,4276000000.0,52097000000.0,-10050000000.0,-15254000000.0,183782000000.0,0.0,18936000000.0,25539000000.0,61782000000.0,244567000000.0
0.06343563471543923,0.07904018640875865,4298000000.0,46281000000.0,-9074000000.0,-15991000000.0,176939000000.0,0.0,18525000000.0,21890000000.0,55741000000.0,237565000000.0
0.21158447861628238,0.1650802705172021,4167000000.0,46074000000.0,-5383000000.0,-13606000000.0,170580000000.0,0.0,17930000000.0,19289000000.0,55453000000.0,230013000000.0
0.1808057629518003,0.04786857547320578,3953000000.0,47008000000.0,-7281000000.0,-9270000000.0,163401000000.0,0.0,15227000000.0,22677000000.0,56834000000.0,222544000000.0
0.1920794774088188,0.10302803483941214,3274000000.0,39972000000.0,-15197000000.0,546000000.0,155567000000.0,0.0,11247000000.0,17003000000.0,48200000000.0,212920000000.0
0.03960781262158597,0.04905879273632774,2731000000.0,2061000000.0,-8448000000.0,-7498000000.0,151681000000.0,0.0,6959000000.0,13993000000.0,43658000000.0,207322000000.0
0.21568441963863405,0.15982834684944236,2748000000.0,1938000000.0,-1847000000.0,-8186000000.0,151068000000.0,0.0,6836000000.0,11451000000.0,40189000000.0,203659000000.0
-0.13029722816412626,0.0727064666197963,2342000000.0,1908000000.0,-4703000000.0,-7326000000.0,152122000000.0,0.0,10671000000.0,14427000000.0,45221000000.0,201442000000.0
0.09681706316652994,0.033724364232977866,2225000000.0,1679000000.0,-8945000000.0,-6954000000.0,147125000000.0,0.0,7068000000.0,15466000000.0,39224000000.0,194969000000.0
0.12775346698615042,0.12560712732789958,2461000000.0,1717000000.0,-10455000000.0,-4746000000.0,145346000000.0,0.0,9947000000.0,12627000000.0,37000000000.0,192192000000.0
-0.07875156608227996,0.012929234388183941,2547000000.0,1667000000.0,-5388000000.0,-4183000000.0,138720000000.0,0.0,6657000000.0,12000000000.0,34910000000.0,183472000000.0
0.13296511234924346,0.07798302449763916,2693000000.0,1784000000.0,-6876000000.0,-2746000000.0,134885000000.0,0.0,8948000000.0,12987000000.0,34620000000.0,177628000000.0
-0.13226976798746526,-0.09778209758100331,2838000000.0,1752000000.0,-10408000000.0,-3478000000.0,128405000000.0,0.0,9192000000.0,13210000000.0,31301000000.0,169840000000.0
0.06975305875498572,0.09107695065656785,3052000000.0,1714000000.0,-3374000000.0,-4937000000.0,121282000000.0,0.0,3195000000.0,10132000000.0,29903000000.0,162000000000.0
0.08127622868994666,-0.01401447969063463,2004000000.0,1596000000.0,-7846000000.0,-2018000000.0,120008000000.0,1300000000.0,9401000000.0,11642000000.0,25394000000.0,160825000000.0
-0.013962155963302858,0.11806192660550452,2672000000.0,1432000000.0,-6974000000.0,-3178000000.0,113247000000.0,0.0,-3083000000.0,10268000000.0,24183000000.0,152502000000.0
0.09101145853968795,0.05998269228764164,2683000000.0,1269000000.0,-14404000000.0,-706000000.0,118237000000.0,3964000000.0,6701000000.0,9872000000.0,20693000000.0,157100000000.0
0.05544000968384455,0.023956510734761682,2011000000.0,1226000000.0,-7172000000.0,-2740000000.0,111505000000.0,3955000000.0,3511000000.0,7403000000.0,18685000000.0,148286000000.0
0.09543613481845803,0.09209701528521164,1607000000.0,1148000000.0,-2851000000.0,-1674000000.0,109420000000.0,485210526.31578946,5377000000.0,9548000000.0,15256000000.0,144949000000.0
0.07481018890414859,0.032352102821901374,1819000000.0,1099000000.0,-4702000000.0,-892000000.0,105131000000.0,0.0,5542000000.0,9413000000.0,16756000000.0,139036000000.0
