fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2019-03-31,USD,130926000000,52705000000,17134000000,18006000000,1771000000,27945000000,65902000000,10675000000,22017000000,39237000000,2956000000,36281000000,872000000,10764000000,872000000,4846000000,-1395000000,114320000000,38871000000,5711000000,None,10250000000,3144000000,71859000000,4903000000,46833000000,7106000000,39727000000,49977000000,13447000000,12184000000,16481000000,169021000000,159396000000,55287000000,889581542
2018-12-31,USD,123382000000,49146000000,11379000000,11997000000,1682000000,30563000000,68067000000,10792000000,21668000000,39352000000,3087000000,36265000000,1157000000,192000000,618000000,4678000000,-3019000000,106452000000,38227000000,6558000000,14610000000,10207000000,10207000000,76767000000,None,42656000000,7051000000,35605000000,52863000000,11165000000,12174000000,16796000000,168071000000,159206000000,55151000000,892479411
2018-09-30,USD,121990000000,48257000000,11563000000,14495000000,1893000000,27087000000,67024000000,10949000000,21535000000,39660000000,3134000000,36526000000,2932000000,10451000000,2932000000,4615000000,-5120000000,102071000000,36822000000,5384000000,None,10932000000,4159000000,65249000000,None,42762000000,6773000000,35989000000,46921000000,10704000000,9979000000,19784000000,165995000000,158612000000,54987000000,911152848
2018-06-30,USD,121622000000,46795000000,10741000000,11707000000,1742000000,28340000000,67621000000,11024000000,21209000000,39826000000,3344000000,36482000000,966000000,11301000000,966000000,4787000000,-4439000000,102974000000,35442000000,5518000000,None,7646000000,2199000000,67532000000,None,43298000000,5447000000,37851000000,45497000000,11752000000,10000000000,18520000000,165366000000,157349000000,54827000000,915064434
2018-03-31,USD,125285000000,49122000000,11949000000,12842000000,1753000000,29229000000,65516000000,11278000000,21497000000,40253000000,3521000000,36732000000,None,11798000000,893000000,4986000000,-4919000000,106995000000,35733000000,5736000000,None,5977000000,2219000000,67410000000,None,44168000000,3758000000,40410000000,46387000000,13059000000,10250000000,18166000000,164334000000,156371000000,54712000000,920680222
2017-12-31,USD,125356000000,49735000000,11972000000,12580000000,1583000000,31630000000,69446000000,11116000000,21215000000,40530000000,3742000000,36788000000,894000000,137000000,608000000,3942000000,-2224000000,107631000000,37363000000,6451000000,15298000000,6987000000,1773000000,75565000000,None,45052000000,5214000000,39837000000,46825000000,11552000000,9965000000,17594000000,163507000000,153126000000,54566000000,922179225
2017-09-30,USD,121636000000,44742000000,10915000000,11515000000,1711000000,27126000000,64832000000,11057000000,20880000000,40763000000,3981000000,36782000000,16000000,16000000,600000000,4389000000,-7901000000,101879000000,31697000000,5442000000,14228000000,4299000000,407000000,70183000000,None,45218000000,3892000000,41327000000,45625000000,10649000000,7723000000,19627000000,162812000000,155565000000,54395000000,929437441
2017-06-30,USD,120495000000,45013000000,11696000000,12295000000,1604000000,26958000000,63942000000,10903000000,20388000000,40696000000,4179000000,36517000000,16000000,16000000,599000000,4155000000,-8077000000,101951000000,35966000000,5126000000,15158000000,8061000000,227000000,65986000000,None,45446000000,7834000000,37612000000,45673000000,11541000000,7437000000,18419000000,161860000000,154234000000,54235000000,934900000
2017-03-31,USD,117495000000,42889000000,10096000000,10695000000,1609000000,25869000000,63625000000,10865000000,19816000000,40743000000,4436000000,36307000000,12000000,12000000,599000000,4715000000,-7826000000,99047000000,36481000000,5324000000,15908000000,8340000000,285000000,62566000000,None,42498000000,8055000000,34441000000,42783000000,12351000000,7601000000,18327000000,160359000000,153292000000,54104000000,942400000
2016-12-31,USD,117470000000,43888000000,7826000000,8527000000,1553000000,29245000000,66971000000,10830000000,19303000000,40887000000,4688000000,36199000000,713000000,119000000,701000000,4564000000,-2767000000,99078000000,36275000000,6209000000,14635000000,7513000000,1274000000,66849000000,None,40893000000,6239000000,34655000000,42167000000,11035000000,7477000000,18246000000,159050000000,152759000000,53935000000,945867403
